co_curso,cpc_faixa
13,4
8,4
2,3
1,4
123427,4
62936,4
116708,4
117004,4
62940,4
7,4
145,5
149,4
167,4
122,5
148,4
165,4
34642,4
22844,4
26033,4
31381,4
128,4
126,5
1138344,5
1138345,4
20762,5
95033,4
306,5
95044,3
20764,4
308,4
80420,4
52852,3
116216,3
1457515,4
116324,4
99418,4
64064,5
99420,4
392,4
101608,3
112106,3
388,3
378,3
376,4
395,4
112104,3
18353,4
377,4
112098,4
18373,4
99870,3
116640,4
490,3
492,3
491,4
22129,4
497,4
112594,4
121677,4
596,4
112598,4
121669,4
41622,3
115084,5
112676,4
109478,4
96405,4
683,5
111120,4
1126514,4
21586,5
1111410,4
686,4
705,4
43916,4
18860,4
1376265,5
766,4
767,4
765,4
764,3
40980,3
773,4
781,3
762,3
1028,5
1458140,4
1041,3
1027,3
20942,4
99665,4
1304865,4
1112986,3
103016,4
115870,4
1443,4
103014,4
1431,4
1436,4
115802,4
68123,4
115794,4
1109223,3
2104,4
21711,4
2111,3
2106,4
29354,4
2198,4
107472,4
2214,4
1150252,4
1150283,3
114203,3
1213442,3
1181263,3
57784,3
18664,4
20580,3
68567,3
91799,3
91814,3
1268539,3
1342685,1
1342686,2
2448,4
2471,3
19501,3
91535,3
1327484,2
1400199,3
5000472,2
19498,4
91386,4
91495,4
91539,4
91692,4
92279,4
1188474,4
1328737,4
68566,4
5000473,4
19495,4
123823,3
2532,5
117348,5
1287475,4
53596,4
113291,5
2620,3
21871,3
21896,3
92687,3
92693,3
92761,3
94270,3
1148015,4
1441524,3
1441526,3
1445324,3
2619,3
21887,2
39248,3
39391,3
1148034,4
2618,4
21882,3
1445314,4
1445320,4
1445321,4
1445322,4
1445323,4
99634,3
1328771,1
99638,2
99686,3
100113,4
1142406,3
1445343,0
1297373,5
1297385,5
2697,5
19486,4
73420,4
85430,4
22176,3
3129,4
3136,4
3203,4
25155,4
1278853,4
66897,4
71071,3
3137,4
82295,4
3393,4
3394,4
3415,4
3392,3
3395,4
